n,T,method,mean_kernel_μs,std_kernel_μs
1900000,Float32,Forge v4,13.16070556640625,0.15078914929239173
1900000,Float32,Forge v8,25.033950805664062,0.19466795466607237
1900000,Float32,CUDA,14.996528625488281,0.2623808228050737
1900000,UInt8,Forge v1,26.24988555908203,0.2087581242968829
1900000,UInt8,Forge v4,7.843971252441406,0.2087581242968829
1900000,UInt8,Forge v8,5.364418029785156,0.20261683120698867
1900000,UInt8,CUDA,6.175041198730469,0.5780250722875017
2000000,Float32,Forge v1,28.753280639648438,0.20105219905652233
2000000,Float32,Forge v4,13.875961303710938,0.15078914929239173
2000000,Float32,Forge v8,27.060508728027344,0.30262363377666107
2000000,Float32,CUDA,15.544891357421875,0.15078914929239173
2000000,UInt8,Forge v1,27.58502960205078,0.11516711510173033
2000000,UInt8,Forge v4,8.273124694824219,0.31888330217582195
2000000,UInt8,Forge v8,5.5789947509765625,0.2562922715599871
2000000,UInt8,CUDA,7.414817810058594,3.1598832762734097
2100000,Float32,Forge v1,30.183792114257812,0.16670367688658264
2100000,Float32,Forge v4,14.424324035644531,0.12565762441032646
2100000,Float32,Forge v8,27.58502960205078,0.31888330217582195
2100000,Float32,CUDA,16.117095947265625,0.20105219905652233
2100000,UInt8,Forge v1,28.824806213378906,0.17592067417445703
2100000,UInt8,Forge v4,8.535385131835938,0.1880671114317454
2100000,UInt8,Forge v8,5.7220458984375,0.2513152488206529
2100000,UInt8,CUDA,6.008148193359375,0.1880671114317454
2200000,Float32,Forge v1,31.328201293945312,0.1231188248382383
2200000,Float32,Forge v4,15.187263488769531,0.252568699233861
2200000,Float32,Forge v8,29.993057250976562,0.31389264517039456
2200000,Float32,CUDA,16.85619354248047,0.252568699233861
2200000,UInt8,Forge v1,30.06458282470703,0.17592067417445703
2200000,UInt8,Forge v4,8.7738037109375,0.1880671114317454
2200000,UInt8,Forge v8,5.9604644775390625,0.11239159602905076
2200000,UInt8,CUDA,6.6280364990234375,1.1284026685904724
2300000,Float32,Forge v1,32.830238342285156,0.19628348406519047
2300000,Float32,Forge v4,15.759468078613281,0.2623808228050737
2300000,Float32,Forge v8,31.113624572753906,0.3228202821666384
2300000,Float32,CUDA,17.547607421875,0.20105219905652233
2300000,UInt8,Forge v1,31.54277801513672,0.252568699233861
2300000,UInt8,Forge v4,9.226799011230469,0.19628348406519047
2300000,UInt8,Forge v8,6.103515625,0.16670367688658264
2300000,UInt8,CUDA,6.508827209472656,0.160920276095999
2400000,Float32,Forge v1,34.18922424316406,0.20105219905652233
2400000,Float32,Forge v4,16.355514526367188,0.16670367688658264
2400000,Float32,Forge v8,32.11498260498047,0.39014618265258716
2400000,Float32,CUDA,18.19133758544922,0.2764467737027182
2400000,UInt8,Forge v1,32.75871276855469,0.23033423020346067
2400000,UInt8,Forge v4,9.679794311523438,0.2562922715599871
2400000,UInt8,Forge v8,6.461143493652344,0.2087581242968829
2400000,UInt8,CUDA,6.580352783203125,0.27985281724387817
2500000,Float32,Forge v1,35.59589385986328,0.22618372393858763
2500000,Float32,Forge v4,16.951560974121094,0.2087581242968829
2500000,Float32,Forge v8,32.4249267578125,0.15894571940104166
2500000,Float32,CUDA,18.835067749023438,0.15894571940104166
2500000,UInt8,Forge v1,34.046173095703125,0.27067480668904625
2500000,UInt8,Forge v4,9.965896606445312,0.15078914929239173
2500000,UInt8,Forge v8,6.580352783203125,0.23033423020346067
2500000,UInt8,CUDA,6.747245788574219,0.11516711510173033
2600000,Float32,Forge v1,37.0025634765625,0.1880671114317454
2600000,Float32,Forge v4,17.595291137695312,0.15078914929239173
2600000,Float32,Forge v8,34.76142883300781,0.38607781097065985
2600000,Float32,CUDA,19.33574676513672,0.13533740334452313
2600000,UInt8,Forge v1,35.33363342285156,0.1880671114317454
2600000,UInt8,Forge v4,10.275840759277344,0.13533740334452313
2600000,UInt8,Forge v8,6.699562072753906,0.2087581242968829
2600000,UInt8,CUDA,7.05718994140625,0.47947893552774923
2700000,Float32,Forge v1,39.62516784667969,0.7266444810652708
2700000,Float32,Forge v4,18.11981201171875,0.0
2700000,Float32,Forge v8,35.14289855957031,0.4381831090320022
2700000,Float32,CUDA,20.194053649902344,0.22618372393858763
2700000,UInt8,Forge v1,36.597251892089844,0.20261683120698867
2700000,UInt8,Forge v4,10.609626770019531,0.12565762441032646
2700000,UInt8,Forge v8,6.9141387939453125,0.22478319205810152
2700000,UInt8,CUDA,7.176399230957031,0.17592067417445703
2800000,Float32,Forge v1,40.93647003173828,1.1241969041669841
2800000,Float32,Forge v4,19.311904907226562,0.2513152488206529
2800000,Float32,Forge v8,37.670135498046875,0.3178914388020833
2800000,Float32,CUDA,21.10004425048828,0.4801371087072123
2800000,UInt8,Forge v1,38.00392150878906,0.20105219905652233
2800000,UInt8,Forge v4,10.991096496582031,0.2087581242968829
2800000,UInt8,Forge v8,7.271766662597656,0.16858739404357612
2800000,UInt8,CUDA,7.2479248046875,0.1231188248382383
2900000,Float32,Forge v1,44.58427429199219,2.657294829257407
2900000,Float32,Forge v4,26.154518127441406,6.98733228489586
2900000,Float32,Forge v8,37.81318664550781,0.321840552191998
2900000,Float32,CUDA,28.324127197265625,7.136468098794556
2900000,UInt8,Forge v1,39.33906555175781,0.22478319205810152
2900000,UInt8,Forge v4,11.277198791503906,0.19628348406519047
2900000,UInt8,Forge v8,7.43865966796875,0.1880671114317454
2900000,UInt8,CUDA,7.343292236328125,0.15078914929239173
3000000,Float32,Forge v1,49.13806915283203,4.943250204185053
3000000,Float32,Forge v4,30.946731567382812,10.003988526254135
3000000,Float32,Forge v8,42.700767517089844,4.3911182255923125
3000000,Float32,CUDA,31.805038452148438,7.509407292462778
3000000,UInt8,Forge v1,40.62652587890625,0.23033423020346067
3000000,UInt8,Forge v4,11.658668518066406,0.17592067417445703
3000000,UInt8,Forge v8,7.700920104980469,0.19628348406519047
3000000,UInt8,CUDA,7.5817108154296875,0.15078914929239173
3100000,Float32,Forge v1,57.053565979003906,6.052524851796907
3100000,Float32,Forge v4,37.598609924316406,3.3113585577901206
