n,T,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
4448783,Float32,Forge v4,63.96770477294922,0.29842032361854853,125.4448,59.36519155906469
4448783,Float32,Forge v8,66.85256958007812,0.7387129490294297,121.7328,38.212278979988156
4448783,Float32,Forge v16,80.08480072021484,0.7982968650721032,143.18970000000002,61.54072638694909
4605922,Float32,CUDA,69.06986236572266,0.4212811241371972,101.9636,50.01883228500597
4605922,Float32,Forge v1,64.37301635742188,1.6632437337602257,125.6842,63.898673420067524
4605922,Float32,Forge v4,66.49494171142578,0.39656877358355996,104.13680000000001,56.11528033492008
4605922,Float32,Forge v8,69.68975067138672,0.39014618265258716,136.68570000000003,101.37176311429135
4605922,Float32,Forge v16,83.63723754882812,1.1669257382060783,124.06830000000001,60.40327688323981
4768612,Float32,CUDA,71.69246673583984,0.4905477956775336,107.1388,57.005924754069795
4768612,Float32,Forge v1,66.32804870605469,0.6031565971695669,106.1749,60.90052344502285
4768612,Float32,Forge v4,68.64070892333984,0.39656877358355996,125.06530000000001,113.71981314524258
4768612,Float32,Forge v8,71.97856903076172,1.0864843909031152,107.97439999999999,39.608903421663506
4768612,Float32,Forge v16,86.5936279296875,1.0768499174724784,127.5367,58.289401775489544
4937048,Float32,CUDA,73.95744323730469,0.2462376496764766,107.3595,50.81910414455921
4937048,Float32,Forge v1,69.427490234375,0.36935647451471487,111.86460000000001,42.71428184837271
4937048,Float32,Forge v4,71.00105285644531,0.5483051398805091,128.7374,71.12828079244491
4937048,Float32,Forge v8,74.9349594116211,0.5625196574270372,115.2179,62.789618799518834
4937048,Float32,Forge v16,89.02549743652344,0.9281667913218455,131.13639999999998,36.5557128509956
5111433,Float32,CUDA,76.41315460205078,0.39337058610167763,122.0437,54.33716610827047
5111433,Float32,Forge v1,71.52557373046875,0.4205308454934105,113.3695,64.86276579269325
5111433,Float32,Forge v4,73.33755493164062,0.3761342228634908,116.6023,69.24809676975487
5111433,Float32,Forge v8,76.6754150390625,0.8350324971875316,117.8305,63.731782875579434
5111433,Float32,Forge v16,91.9342041015625,0.8197655333345811,124.4486,39.36396781942705
5291979,Float32,CUDA,78.91654968261719,0.3727607536175592,112.7529,50.026075921463196
5291979,Float32,Forge v1,74.05281066894531,0.6176426959904178,113.4785,58.50522248341026
5291979,Float32,Forge v4,76.00784301757812,0.40210439811304466,112.3784,31.579109357646907
5291979,Float32,Forge v8,79.9417495727539,0.9801294704005463,117.8002,58.31962557188142
5291979,Float32,Forge v16,95.10517120361328,1.1376006194608586,133.5499,56.35183815684769
5478901,Float32,CUDA,81.94446563720703,0.6161069057246623,106.9993,26.8877479411059
5478901,Float32,Forge v1,76.34162902832031,0.38607781097065985,116.0457,57.41915506760595
5478901,Float32,Forge v4,78.2012939453125,0.3554134333133363,113.235,42.44360600975265
5478901,Float32,Forge v8,82.85045623779297,1.0130841560349435,120.963,57.77405437468352
5478901,Float32,Forge v16,98.49071502685547,0.54425855217819,137.886,56.981533657843926
5672426,Float32,CUDA,84.4717025756836,0.6558316877930246,109.0332,24.43279223502709
5672426,Float32,Forge v1,79.01191711425781,0.42352398536918096,118.7983,58.77813828296293
5672426,Float32,Forge v4,80.96694946289062,0.34090058945858026,131.48860000000002,41.280827788857785
5672426,Float32,Forge v8,84.92469787597656,0.9655216565759939,146.2671,67.5530838862627
5672426,Float32,Forge v16,101.80473327636719,1.054326626572736,141.0341,57.1581924748228
5872787,Float32,CUDA,87.30888366699219,0.36935647451471487,124.69139999999999,28.020389430238513
5872787,Float32,Forge v1,81.634521484375,0.5642013342952362,120.5017,57.82267178970546
5872787,Float32,Forge v4,84.04254913330078,0.3598286763086882,125.8504,66.8945726086122
5872787,Float32,Forge v8,87.9049301147461,0.6161069057246623,119.9104,34.19674099871702
5872787,Float32,Forge v16,105.81016540527344,1.4515495372557161,158.7865,70.95729967186055
6080224,Float32,CUDA,90.16990661621094,0.31389264517039456,141.54729999999998,53.44176863766975
6080224,Float32,Forge v1,84.686279296875,0.7606179627739842,115.48389999999999,31.26270591988693
6080224,Float32,Forge v4,86.95125579833984,0.46408339566092277,126.3209,57.694168675968555
6080224,Float32,Forge v8,91.07589721679688,0.7947285970052084,131.2396,58.30496077464879
6080224,Float32,Forge v16,108.59966278076172,0.9553285662469314,142.735,36.022845587518795
6294989,Float32,CUDA,93.36471557617188,0.34090058945858026,127.0471,51.473046613305826
6294989,Float32,Forge v1,88.54866027832031,0.5642013342952362,141.1117,55.85137139279174
6294989,Float32,Forge v4,89.95532989501953,0.40601221003356935,125.0321,43.27298972659247
6294989,Float32,Forge v8,94.53296661376953,0.9148013141331147,151.6249,70.46890532938782
6294989,Float32,Forge v16,112.81967163085938,0.9720411206194977,151.6375,54.84985969241651
6517340,Float32,CUDA,96.27342224121094,0.7178999449816522,129.9144,50.53735585177453
6517340,Float32,Forge v1,90.93284606933594,0.5968406472370971,130.7461,60.90807185596267
6517340,Float32,Forge v4,93.19782257080078,0.8369212860680115,203.5001,179.0924080855405
6517340,Float32,Forge v8,99.03907775878906,1.1194112689755127,128.4578,31.244634600021953
6517340,Float32,Forge v16,117.23041534423828,0.8924345676822532,160.4437,67.76418624260327
6747544,Float32,CUDA,99.46823120117188,0.46066846040692133,199.7935,117.88388959881009
6747544,Float32,Forge v1,94.15149688720703,0.9762554257123907,124.4669,30.22979006230627
6747544,Float32,Forge v4,96.58336639404297,0.5082536365292702,136.153,60.045679594788496
6747544,Float32,Forge v8,101.59015655517578,1.0389385760536831,150.6149,55.716220405930464
6747544,Float32,Forge v16,120.7113265991211,0.8709442261249214,152.165,32.658760754198866
6985880,Float32,CUDA,103.2114028930664,0.5669930452263187,136.38039999999998,50.57597374072221
6985880,Float32,Forge v1,97.56088256835938,0.35184134834891406,137.35070000000002,61.98530850496393
6985880,Float32,Forge v4,99.42054748535156,0.527163313286368,132.1749,37.87321845153615
6985880,Float32,Forge v8,104.42733764648438,0.8259061849445711,143.293,59.316556671247646
6985880,Float32,Forge v16,125.3366470336914,0.9671556426096788,164.9325,58.66211522164691
7232634,Float32,CUDA,106.66847229003906,0.4661203479326623,131.1091,23.1758377216445
7232634,Float32,Forge v1,101.04179382324219,0.5925926171082575,142.5491,60.08113838699945
7232634,Float32,Forge v4,103.13987731933594,0.45236744787717525,213.2717,179.6027428793583
7232634,Float32,Forge v8,109.12418365478516,0.8489100261196507,160.9878,58.27723462858851
7232634,Float32,Forge v16,130.1288604736328,0.8977267739895464,173.2715,69.22967577282961
7488104,Float32,CUDA,109.98249053955078,0.3381100874929849,137.26379999999997,31.426407751726536
7488104,Float32,Forge v1,104.28428649902344,0.8197655333345811,153.87539999999998,63.36256781447894
