n,T,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
22947,Float32,Forge v1,1.8358230590820312,0.11516711510173033,47.5773,56.16505951024078
22947,Float32,Forge v4,2.193450927734375,0.27067480668904625,32.895199999999996,38.13441826195566
22947,Float32,Forge v8,2.5272369384765625,0.16670367688658264,33.2632,38.68852636922505
22947,Float32,Forge v16,4.315376281738281,0.13533740334452313,35.327,37.44923369635812
23374,Float32,CUDA,1.7404556274414062,0.19628348406519047,23.947200000000002,26.69554244022357
23374,Float32,Forge v1,1.8596649169921875,0.15078914929239173,45.5574,82.69102981205265
23374,Float32,Forge v4,2.09808349609375,0.2462376496764766,33.1391,39.3077445675644
23374,Float32,Forge v8,2.6464462280273438,0.13533740334452313,45.142900000000004,54.38824381436774
23374,Float32,Forge v16,4.220008850097656,0.160920276095999,36.1199,38.65247608986749
23810,Float32,CUDA,1.7404556274414062,0.22618372393858763,26.3097,28.630354144780597
23810,Float32,Forge v1,1.9550323486328125,0.1880671114317454,50.2701,52.266461163392755
23810,Float32,Forge v4,2.2649765014648438,0.12565762441032646,33.717,40.77231471095171
23810,Float32,Forge v8,2.6941299438476562,0.29842032361854853,37.9439,49.55797132976915
23810,Float32,Forge v16,4.38690185546875,0.16670367688658264,35.8489,39.43352448939298
24253,Float32,CUDA,1.8358230590820312,0.19628348406519047,25.5085,26.451158383581866
24253,Float32,Forge v1,1.9550323486328125,0.2190915545160011,32.1291,38.159831301892424
24253,Float32,Forge v4,2.0503997802734375,0.16670367688658264,36.7645,49.10437553766919
24253,Float32,Forge v8,2.7418136596679688,0.25752149814001163,34.2884,38.854326337688
24253,Float32,Forge v16,4.315376281738281,0.13533740334452313,35.5492,37.67581582040837
24705,Float32,CUDA,1.6450881958007812,0.17592067417445703,29.1599,36.811899608233574
24705,Float32,Forge v1,1.8835067749023438,0.2623808228050737,32.5754,39.29229815173
24705,Float32,Forge v4,2.193450927734375,0.2190915545160011,49.4726,45.35715493772117
24705,Float32,Forge v8,2.6226043701171875,0.15894571940104166,52.2376,46.94301173692771
24705,Float32,Forge v16,4.267692565917969,0.07539457464619587,45.532599999999995,48.36488945551767
25165,Float32,CUDA,1.7404556274414062,0.22618372393858763,23.886200000000002,26.096175219113366
25165,Float32,Forge v1,1.811981201171875,0.20105219905652233,94.13260000000001,181.51023081248064
25165,Float32,Forge v4,2.09808349609375,0.1880671114317454,31.9898,42.09380531041487
25165,Float32,Forge v8,2.6702880859375,0.2190915545160011,34.3753,40.71397059719045
25165,Float32,Forge v16,4.3392181396484375,0.1880671114317454,52.3483,56.3715257772535
25634,Float32,CUDA,1.7404556274414062,0.160920276095999,28.6118,35.065460159219036
25634,Float32,Forge v1,1.9073486328125,0.2513152488206529,36.302800000000005,48.88251953135531
25634,Float32,Forge v4,2.1696090698242188,0.237090331557215,36.2609,46.35997914976523
25634,Float32,Forge v8,2.6464462280273438,0.2087581242968829,53.054300000000005,60.36707323266367
25634,Float32,Forge v16,4.267692565917969,0.07539457464619587,39.689,49.11202462624494
26112,Float32,CUDA,1.9073486328125,0.19466795466607237,29.6419,37.92072362310614
26112,Float32,Forge v1,1.9550323486328125,0.2190915545160011,36.866099999999996,51.606611530457556
26112,Float32,Forge v4,2.1457672119140625,0.2513152488206529,55.2464,62.511436244720684
26112,Float32,Forge v8,2.574920654296875,0.15078914929239173,44.4744,45.26998409346111
26112,Float32,Forge v16,4.3392181396484375,0.27067480668904625,61.356,58.7671083269469
26598,Float32,CUDA,1.71661376953125,0.10052609952826116,43.9184,46.27609387433934
26598,Float32,Forge v1,1.8596649169921875,0.2190915545160011,57.666599999999995,60.27996934711305
26598,Float32,Forge v4,2.1457672119140625,0.3178914388020833,37.601800000000004,51.84272330981252
26598,Float32,Forge v8,2.7179718017578125,0.20105219905652233,56.038199999999996,60.09579068601875
26598,Float32,Forge v16,4.363059997558594,0.22618372393858763,58.474599999999995,63.283327622157586
27094,Float32,CUDA,1.7881393432617188,0.12565762441032646,36.9669,36.85807615540694
27094,Float32,Forge v1,1.9788742065429688,0.19628348406519047,37.1922,49.86149814302281
27094,Float32,Forge v4,2.0742416381835938,0.19628348406519047,44.4976,49.20551638496553
