Ns,v1,v4
23800000,0.0011114282155555556,0.0011776238181283112
23900000,0.0011146040852367685,0.001180788786304605
24000000,0.0011211124624439456,0.0011994718495203834
24100000,0.0011271631064788722,0.0012012550942942944
24200000,0.0011339893004535158,0.0012083975911835747
24300000,0.001132133795698924,0.001211366493341404
24400000,0.0011379496717861194,0.0012086826265861024
24500000,0.001145253635947338,0.0012199910097560975
24600000,0.0011488429442848935,0.0012299500202827287
24700000,0.001151112960299194,0.0012283254100675265
24800000,0.0011560998566473998,0.0012282072074892572
24900000,0.0011688647126168218,0.0012519754292866087
25000000,0.0011772896309593887,0.0012559756089139988
25100000,0.0011856116644931827,0.0012646147471554996
25200000,0.0012067411773220744,0.0012677534030418247
25300000,0.0012205212025625386,0.0012715887183725376
25400000,0.0012886955505473276,0.0012750028413001909
25500000,0.0012242660189718485,0.0012596173387909326
25600000,0.0011957894698147033,0.0012707486143583233
25700000,0.0012117760714718355,0.0012814989647661748
25800000,0.0012034259873646203,0.0012799739596928983
25900000,0.0012160808729483278,0.001284069097560975
26000000,0.0012044514166164961,0.0012967287420609208
26100000,0.0012151400212636694,0.0012953563322538855
26200000,0.0012200545469512193,0.0013001112475633531
26300000,0.0012205584112263575,0.001301969832140534
26400000,0.0012349797469135804,0.0013191844212261051
26500000,0.0012373149690785403,0.0013171993976300194
26600000,0.0012366456755253399,0.0013255744685222
26700000,0.0012372034885590603,0.0013340328413333333
26800000,0.001278937382992327,0.0013538211657645458
26900000,0.0012768757243139758,0.001340104538513062
27000000,0.001261766245901639,0.0013406680569705096
27100000,0.001268405497780595,0.001344648801075268
27200000,0.0013056519131853775,0.001350449753544903
27300000,0.001268583795180723,0.001356192
27400000,0.001274327114012739,0.0013622062239618787
27500000,0.001297284809987031,0.0013760524209078405
27600000,0.001290169497743391,0.0013689093967168262
27700000,0.0012933044130575301,0.0013875921192787804
27800000,0.0012977984961089492,0.0013795909213793105
27900000,0.001296733413480232,0.0013831236040082928
28000000,0.0013033619771986977,0.001396251696441033
28100000,0.001317837725296442,0.0014038737985964912
28200000,0.0013144558745072277,0.0014124126005645734
28300000,0.0013272015461181146,0.0014065224585091416
28400000,0.0013340674786666677,0.0014218804498933896
28500000,0.00134021483523108,0.0014158707098372262
28600000,0.0013373584832887702,0.0014221192025586353
28700000,0.001338797196117805,0.0014249849081196583
28800000,0.0013753701841924396,0.00142729994293866
28900000,0.0013392152657295848,0.0014340172129032255
29000000,0.001353353960757781,0.0014384093889288272
29100000,0.0013542299763033177,0.0014458461524566467
29200000,0.001351011592842673,0.0014454591683526006
29300000,0.0013596321733514612,0.0014467837758496025
29400000,0.0013688420957592338,0.001455626748908298
29500000,0.001372851035003432,0.0014598568569343063
29600000,0.0013775387176308538,0.0014668324142228732
29700000,0.001385858852493074,0.0014887162209821423
29800000,0.0013832917226832635,0.0014786190273466382
29900000,0.001401134172969188,0.001488158100446429
30000000,0.0014083408529204774,0.0014852236340014851
30100000,0.0014497268449275371,0.0015088436787330317
30200000,0.001425609026353276,0.0015093755625942681
30300000,0.0014504630152284263,0.0015149621915215741
30400000,0.0014095596701902758,0.0015096274920754717
30500000,0.001413662526501767,0.001514306928841787
30600000,0.0014255919836182332,0.0015297212882262991
30700000,0.0014305818649035034,0.0015247394885670735
30800000,0.0014385563551401867,0.0015408888220338976
30900000,0.0014395542532374096,0.0015435001797839498
31000000,0.0014407289323254135,0.0015496693934934156
31100000,0.0014564651353711805,0.0015411840654853623
31200000,0.0014540869338662786,0.0015772663995271869
31300000,0.001456791834668609,0.0015487604620743043
31400000,0.0014637665062179964,0.0015547417972027978
31500000,0.0014631760797366494,0.001568133241379311
31600000,0.0014657011487179481,0.0015837752003167072
31700000,0.001477169581979319,0.0016149103575464076
31800000,0.0014862788172362552,0.0016021804083266606
31900000,0.0014790655846267558,0.0015873579904761902
32000000,0.0014876545851301114,0.0015911181233094675
32100000,0.0014969089439042637,0.001606203380417336
32200000,0.0014977892911676653,0.0015910911917263318
32300000,0.0015058161963882619,0.0015968747294493213
32400000,0.0015115656110271899,0.0016002298736000008
32500000,0.0015105657773584898,0.0016105251932367148
32600000,0.0015485188800309602,0.0016285548559804716
32700000,0.0015106071057401807,0.0016395291655737707
32800000,0.0015193538815489731,0.0016280573588283156
32900000,0.0015387061592307691,0.001631581982055464
33000000,0.0015330279816091956,0.001647700151565075
33100000,0.001533932508435583,0.0016994423755310102
33200000,0.0015452027081081078,0.0016581779701739844
33300000,0.0015535272826086959,0.0016681385546288576
33400000,0.0015526409131109377,0.0016690864995829858
33500000,0.0015565870334630354,0.0016879455873417724
33600000,0.0015754563937007864,0.0016791343791946315
33700000,0.0015669530532498041,0.0016903137880067555
33800000,0.0015848605546751196,0.0016871656450252953
33900000,0.0016015690760608496,0.0017133703227739721
34000000,0.0015849675419968305,0.001702870342978723
34100000,0.0015873804595238098,0.0017267735815358072
34200000,0.0016248365239642567,0.001697196527565733
34300000,0.0015974068020750201,0.0016975764452926206
34400000,0.001598555950479232,0.0017721957502214345
34500000,0.0016162031510500814,0.001716786927896995
34600000,0.0016056877913322633,0.0017157587650085777
34700000,0.001619252053398059,0.0017348874050303557
34800000,0.0016162098877221319,0.001732520176623378
34900000,0.0016244830300324688,0.0017566903011413532
35000000,0.0016271862926829257,0.0017441921098517881
35100000,0.0016326204673735723,0.0017393192365217388
35200000,0.00165484417369727,0.0017701754292035415
35300000,0.0016349169575163394,0.001776320840142097
35400000,0.0016469372962962972,0.0017540603163891323
35500000,0.001640222870491803,0.0017476560943231441
35600000,0.0016498283297609237,0.001769942375221239
35700000,0.0017155343902229845,0.0017693894783377554
35800000,0.0016731802391304347,0.0017737939397163124
35900000,0.001671501814536342,0.0017866884607142864
36000000,0.0016782966166107392,0.0017894810983899816
36100000,0.0016835104604377095,0.0018027767936936935
36200000,0.0016941848052497873,0.0018128055923913053
36300000,0.0016795842955499587,0.0018239197930720156
36400000,0.0017012229413265318,0.001820132751592357
36500000,0.0017342656594454076,0.0018239334329990876
36600000,0.0016988244796264855,0.0018076042583559163
